Generative Model,Preprocessing Strategy,Postprocessing Strategy,"mean (lower, upper)"
bayesian_network,baseline,no_hard,"-0.007 (-0.058, 0.042)"
bayesian_network,easy_hard,baseline,"-0.013 (-0.05, 0.029)"
bayesian_network,easy_hard,no_hard,"-0.023 (-0.067, 0.024)"
ctgan,baseline,no_hard,"-0.054 (-1.365, 0.812)"
ctgan,easy_hard,baseline,"-0.006 (-1.06, 0.792)"
ctgan,easy_hard,no_hard,"-0.119 (-1.285, 0.732)"
ddpm,baseline,no_hard,"-0.166 (-18.701, 15.468)"
ddpm,easy_hard,baseline,"0.356 (-17.656, 14.433)"
ddpm,easy_hard,no_hard,"0.284 (-17.239, 14.67)"
nflow,baseline,no_hard,"0.035 (-0.723, 0.656)"
nflow,easy_hard,baseline,"0.022 (-0.724, 0.653)"
nflow,easy_hard,no_hard,"0.052 (-0.637, 0.663)"
tvae,baseline,no_hard,"-0.053 (-1.455, 1.235)"
tvae,easy_hard,baseline,"0.24 (-0.844, 1.246)"
tvae,easy_hard,no_hard,"0.199 (-0.977, 1.257)"
